medium_id	component_index	component_name	current_bigg	proposed_bigg	proposed_tier	mapper_note	why_not_applied
food_FOOD00268	108	Ammonia	nh3	nh4	exact_name	target nh3 is absent from the BiGGr reactome; substituted nh4, which carries the identical InChIKey QGZKDVFQNNGYKY-UHFFFAOYSA-O	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00268	153	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00269	0	Nonanoate	C01601	nona	exact_name	target C01601 is absent from the BiGGr reactome; substituted nona, which carries the identical InChIKey FBUKVWPVBMHYJY-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00274	0	Nonanoate	C01601	nona	exact_name	target C01601 is absent from the BiGGr reactome; substituted nona, which carries the identical InChIKey FBUKVWPVBMHYJY-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00287	33	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00316	3	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00316	54	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00336	7	caproic acid	caproic	hxa	exact_name	target caproic is absent from the BiGGr reactome; substituted hxa, which carries the identical InChIKey FUZZWVXGSFPDMH-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00381	4	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00382	1	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00402	4	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00413	3	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00429	39	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00457	1	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00520	0	Nonanoate	C01601	nona	exact_name	target C01601 is absent from the BiGGr reactome; substituted nona, which carries the identical InChIKey FBUKVWPVBMHYJY-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00536	0	Nonanoate	C01601	nona	exact_name	target C01601 is absent from the BiGGr reactome; substituted nona, which carries the identical InChIKey FBUKVWPVBMHYJY-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00572	0	Nonanoate	C01601	nona	exact_name	target C01601 is absent from the BiGGr reactome; substituted nona, which carries the identical InChIKey FBUKVWPVBMHYJY-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00591	0	Nonanoate	C01601	nona	exact_name	target C01601 is absent from the BiGGr reactome; substituted nona, which carries the identical InChIKey FBUKVWPVBMHYJY-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00616	0	Nonanoate	C01601	nona	exact_name	target C01601 is absent from the BiGGr reactome; substituted nona, which carries the identical InChIKey FBUKVWPVBMHYJY-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00617	3	propionic acid	ppa	prpnte	fuzzy_name	target ppa is absent from the BiGGr reactome; substituted prpnte, which carries the identical InChIKey XBDQKXXYIPTUBI-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00624	0	Nonanoate	C01601	nona	exact_name	target C01601 is absent from the BiGGr reactome; substituted nona, which carries the identical InChIKey FBUKVWPVBMHYJY-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00638	0	Nonanoate	C01601	nona	exact_name	target C01601 is absent from the BiGGr reactome; substituted nona, which carries the identical InChIKey FBUKVWPVBMHYJY-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00639	0	Nonanoate	C01601	nona	exact_name	target C01601 is absent from the BiGGr reactome; substituted nona, which carries the identical InChIKey FBUKVWPVBMHYJY-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00641	0	Nonanoate	C01601	nona	exact_name	target C01601 is absent from the BiGGr reactome; substituted nona, which carries the identical InChIKey FBUKVWPVBMHYJY-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00648	0	Nonanoate	C01601	nona	exact_name	target C01601 is absent from the BiGGr reactome; substituted nona, which carries the identical InChIKey FBUKVWPVBMHYJY-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00650	25	caproic acid	caproic	hxa	exact_name	target caproic is absent from the BiGGr reactome; substituted hxa, which carries the identical InChIKey FUZZWVXGSFPDMH-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00652	0	Nonanoate	C01601	nona	exact_name	target C01601 is absent from the BiGGr reactome; substituted nona, which carries the identical InChIKey FBUKVWPVBMHYJY-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00659	0	Nonanoate	C01601	nona	exact_name	target C01601 is absent from the BiGGr reactome; substituted nona, which carries the identical InChIKey FBUKVWPVBMHYJY-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00682	0	Nonanoate	C01601	nona	exact_name	target C01601 is absent from the BiGGr reactome; substituted nona, which carries the identical InChIKey FBUKVWPVBMHYJY-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00687	0	Nonanoate	C01601	nona	exact_name	target C01601 is absent from the BiGGr reactome; substituted nona, which carries the identical InChIKey FBUKVWPVBMHYJY-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00688	0	Nonanoate	C01601	nona	exact_name	target C01601 is absent from the BiGGr reactome; substituted nona, which carries the identical InChIKey FBUKVWPVBMHYJY-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00689	27	caproic acid	caproic	hxa	exact_name	target caproic is absent from the BiGGr reactome; substituted hxa, which carries the identical InChIKey FUZZWVXGSFPDMH-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00691	30	caproic acid	caproic	hxa	exact_name	target caproic is absent from the BiGGr reactome; substituted hxa, which carries the identical InChIKey FUZZWVXGSFPDMH-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00693	26	caproic acid	caproic	hxa	exact_name	target caproic is absent from the BiGGr reactome; substituted hxa, which carries the identical InChIKey FUZZWVXGSFPDMH-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00711	7	propionic acid	ppa	prpnte	fuzzy_name	target ppa is absent from the BiGGr reactome; substituted prpnte, which carries the identical InChIKey XBDQKXXYIPTUBI-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00711	56	caproic acid	caproic	hxa	exact_name	target caproic is absent from the BiGGr reactome; substituted hxa, which carries the identical InChIKey FUZZWVXGSFPDMH-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00765	0	Nonanoate	C01601	nona	exact_name	target C01601 is absent from the BiGGr reactome; substituted nona, which carries the identical InChIKey FBUKVWPVBMHYJY-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00808	10	propionic acid	ppa	prpnte	fuzzy_name	target ppa is absent from the BiGGr reactome; substituted prpnte, which carries the identical InChIKey XBDQKXXYIPTUBI-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00843	0	Nonanoate	C01601	nona	exact_name	target C01601 is absent from the BiGGr reactome; substituted nona, which carries the identical InChIKey FBUKVWPVBMHYJY-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00844	0	Nonanoate	C01601	nona	exact_name	target C01601 is absent from the BiGGr reactome; substituted nona, which carries the identical InChIKey FBUKVWPVBMHYJY-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00874	5	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00874	79	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00875	5	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00875	82	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00876	3	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00876	71	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00886	5	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00886	82	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00888	6	Arsenate	aso4	arsna	exact_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00888	74	Lead	pb	pb2	fuzzy_name	target pb is absent from the BiGGr reactome; substituted pb2, which carries the identical InChIKey RVPVRDXYQKGNMQ-UHFFFAOYSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00907	39	Ammonia	nh3	nh4	exact_name	target nh3 is absent from the BiGGr reactome; substituted nh4, which carries the identical InChIKey QGZKDVFQNNGYKY-UHFFFAOYSA-O	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00908	39	Ammonia	nh3	nh4	exact_name	target nh3 is absent from the BiGGr reactome; substituted nh4, which carries the identical InChIKey QGZKDVFQNNGYKY-UHFFFAOYSA-O	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00925	25	Ammonia	nh3	nh4	exact_name	target nh3 is absent from the BiGGr reactome; substituted nh4, which carries the identical InChIKey QGZKDVFQNNGYKY-UHFFFAOYSA-O	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00987	0	Nonanoate	C01601	nona	exact_name	target C01601 is absent from the BiGGr reactome; substituted nona, which carries the identical InChIKey FBUKVWPVBMHYJY-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
food_FOOD00989	27	Ammonia	nh3	nh4	exact_name	target nh3 is absent from the BiGGr reactome; substituted nh4, which carries the identical InChIKey QGZKDVFQNNGYKY-UHFFFAOYSA-O	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC10105427_urea_medium_anaerobic_rumen_simulating	20	Propionic acid	ppa	prpnte	fuzzy_name	target ppa is absent from the BiGGr reactome; substituted prpnte, which carries the identical InChIKey XBDQKXXYIPTUBI-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC10308913_chemically_defined_medium_bryant_and_bur	22	Propionic acid (propionate)	ppa	prpnte	fuzzy_name	target ppa is absent from the BiGGr reactome; substituted prpnte, which carries the identical InChIKey XBDQKXXYIPTUBI-UHFFFAOYSA-M; resolved from the parenthetical qualifier 'propionate', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC10390337_anoxic_mineral_medium_with_formate_elect	9	Bicarbonate (HCO3-) / CO2	hco3	h2co3	exact_name	bicarbonate; target hco3 is absent from the BiGGr reactome; substituted h2co3, which carries the identical InChIKey BVKZGUZCCUSVTD-UHFFFAOYSA-M; resolved from the parenthetical qualifier 'HCO3-', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC10390337_mineral_medium_with_1_mm_ammonium_as_n_s	9	Bicarbonate (HCO3-) / CO2	hco3	h2co3	exact_name	bicarbonate; target hco3 is absent from the BiGGr reactome; substituted h2co3, which carries the identical InChIKey BVKZGUZCCUSVTD-UHFFFAOYSA-M; resolved from the parenthetical qualifier 'HCO3-', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC10945360_anoxic_basal_mineral_medium_10_mm_monome	26	NaHCO3 (bicarbonate)	hco3	h2co3	exact_name	target hco3 is absent from the BiGGr reactome; substituted h2co3, which carries the identical InChIKey BVKZGUZCCUSVTD-UHFFFAOYSA-M; resolved from the parenthetical qualifier 'bicarbonate', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC10949502_cgx_minimal_medium_shake_flask	5	Fe2+ (iron)	fe2	fe	fuzzy_name	target fe carries no InChIKey and no formula in tools/bigg_metabolite_dict.json, so the name match could not be checked against structure; resolved from the parenthetical qualifier 'iron', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC11093872_defined_minimal_medium_adapted_from_naka	7	Fe2+ (iron)	fe2	fe	fuzzy_name	target fe carries no InChIKey and no formula in tools/bigg_metabolite_dict.json, so the name match could not be checked against structure; resolved from the parenthetical qualifier 'iron', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC11093872_defined_minimal_medium_adapted_from_wilm	7	Fe2+ (iron)	fe2	fe	fuzzy_name	target fe carries no InChIKey and no formula in tools/bigg_metabolite_dict.json, so the name match could not be checked against structure; resolved from the parenthetical qualifier 'iron', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC11093872_defined_minimal_medium_bioreactor_r1_pro	6	Fe2+ (iron)	fe2	fe	fuzzy_name	target fe carries no InChIKey and no formula in tools/bigg_metabolite_dict.json, so the name match could not be checked against structure; resolved from the parenthetical qualifier 'iron', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC11136667_m9_minimal_medium_500_mm_methanol	6	Iron (Fe2+)	fe	fe2	fuzzy_name	resolved from the parenthetical qualifier 'Fe2+', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC11272060_defined_mineral_medium_with_vfa_mixture_	43	Sodium propionate (propionate)	ppa	prpnte	fuzzy_name	target ppa is absent from the BiGGr reactome; substituted prpnte, which carries the identical InChIKey XBDQKXXYIPTUBI-UHFFFAOYSA-M; resolved from the parenthetical qualifier 'propionate', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC11557832_r_2_medium_with_20_g_l_glucose	17	Iron (Fe2+)	fe	fe2	fuzzy_name	resolved from the parenthetical qualifier 'Fe2+', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC11637423_defined_saltwater_liquid_medium_10_mm_d_	14	Bicarbonate (from NaHCO3)	hco3	h2co3	exact_name	target hco3 is absent from the BiGGr reactome; substituted h2co3, which carries the identical InChIKey BVKZGUZCCUSVTD-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC1175100_defined_glucose_batch_medium_optimized_f	16	Iron (fe2)	fe	fe2	fuzzy_name	resolved from the parenthetical qualifier 'fe2', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC12526780_nitrogen_fixing_sucrose_mineral_medium_f	0	Valeric acid (pentanoate)	M03134	pta	exact_name	resolved from the parenthetical qualifier 'pentanoate', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC12718266_burk_medium_burk_sucrose	14	Fe2+ (iron)	fe2	fe	fuzzy_name	target fe carries no InChIKey and no formula in tools/bigg_metabolite_dict.json, so the name match could not be checked against structure; resolved from the parenthetical qualifier 'iron', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC12931063_bg11_0_nitrogen_free_nutrients_5x_concen	10	Bicarbonate (from NaHCO3)	hco3	h2co3	exact_name	target hco3 is absent from the BiGGr reactome; substituted h2co3, which carries the identical InChIKey BVKZGUZCCUSVTD-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC12996797_modified_m9_mops_minimal_medium_fed_batc	4	Fe2+ (iron)	fe2	fe	fuzzy_name	target fe carries no InChIKey and no formula in tools/bigg_metabolite_dict.json, so the name match could not be checked against structure; resolved from the parenthetical qualifier 'iron', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC12996797_modified_m9_mops_yeast_extract_glucose_x	14	Fe2+ (iron)	fe2	fe	fuzzy_name	target fe carries no InChIKey and no formula in tools/bigg_metabolite_dict.json, so the name match could not be checked against structure; resolved from the parenthetical qualifier 'iron', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC13150008_ba1b_type_i_mg_hco3_groundwater_20_at_d2	20	Propionate	ppa	prpnte	fuzzy_name	target ppa is absent from the BiGGr reactome; substituted prpnte, which carries the identical InChIKey XBDQKXXYIPTUBI-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC13150008_ba3a_type_ii_ca_oh_groundwater_20_at_d2o	18	Propionate	ppa	prpnte	fuzzy_name	target ppa is absent from the BiGGr reactome; substituted prpnte, which carries the identical InChIKey XBDQKXXYIPTUBI-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC13150008_ba4a_intermediate_groundwater_20_at_d2o_	19	Propionate	ppa	prpnte	fuzzy_name	target ppa is absent from the BiGGr reactome; substituted prpnte, which carries the identical InChIKey XBDQKXXYIPTUBI-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC13261371_optimised_lmo_812_defined_marine_medium_	12	Bicarbonate (HCO3-)	hco3	h2co3	exact_name	bicarbonate; target hco3 is absent from the BiGGr reactome; substituted h2co3, which carries the identical InChIKey BVKZGUZCCUSVTD-UHFFFAOYSA-M; resolved from the parenthetical qualifier 'HCO3-', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC13274346_modified_m9_low_phosphate_buffer_with_so	17	Propionate	ppa	prpnte	fuzzy_name	target ppa is absent from the BiGGr reactome; substituted prpnte, which carries the identical InChIKey XBDQKXXYIPTUBI-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC13274346_modified_m9_low_phosphate_glassy_carbon_	16	Propionate	ppa	prpnte	fuzzy_name	target ppa is absent from the BiGGr reactome; substituted prpnte, which carries the identical InChIKey XBDQKXXYIPTUBI-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC13274346_modified_m9_low_phosphate_propionate_ace	16	Propionate	ppa	prpnte	fuzzy_name	target ppa is absent from the BiGGr reactome; substituted prpnte, which carries the identical InChIKey XBDQKXXYIPTUBI-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC13274346_modified_m9_low_phosphate_with_insoluble	16	Propionate	ppa	prpnte	fuzzy_name	target ppa is absent from the BiGGr reactome; substituted prpnte, which carries the identical InChIKey XBDQKXXYIPTUBI-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC13274346_modified_m9_with_soluble_fe_iii_citrate_	16	Propionate	ppa	prpnte	fuzzy_name	target ppa is absent from the BiGGr reactome; substituted prpnte, which carries the identical InChIKey XBDQKXXYIPTUBI-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC2526093_chemically_defined_medium_cdm_derived_10	15	Iron (Fe2+)	fe	fe2	fuzzy_name	resolved from the parenthetical qualifier 'Fe2+', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC2844404_n_europaea_mineral_medium_280_mg_n_l_amm	9	Bicarbonate	hco3	h2co3	exact_name	target hco3 is absent from the BiGGr reactome; substituted h2co3, which carries the identical InChIKey BVKZGUZCCUSVTD-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC3002917_defined_freshwater_medium_chemostat	8	Iron(III) (Fe3+)	fe	fe3	fuzzy_name	resolved from the parenthetical qualifier 'Fe3+', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC3431225_ssbm_p_fully_defined_phosphate_depletion	6	Iron (Fe2+)	fe	fe2	fuzzy_name	resolved from the parenthetical qualifier 'Fe2+', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC3431225_ssbm_p_phosphate_depletion_optimized_sub	6	Iron (Fe2+)	fe	fe2	fuzzy_name	resolved from the parenthetical qualifier 'Fe2+', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC3846598_defined_mineral_salts_medium_with_nonano	8	Iron(II) (fe2)	fe	fe2	fuzzy_name	resolved from the parenthetical qualifier 'fe2', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC3925604_atcc_1754_petc_medium_basal_mineral_salt	19	Iron (fe2)	fe	fe2	fuzzy_name	resolved from the parenthetical qualifier 'fe2', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC4744455_minimal_glycerol_medium_modified_from_di	6	Iron (Fe2+)	fe	fe2	fuzzy_name	resolved from the parenthetical qualifier 'Fe2+', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC4913259_modified_clostridia_growth_medium_cgm_wi	17	Iron (Fe2+)	fe	fe2	fuzzy_name	resolved from the parenthetical qualifier 'Fe2+', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC4913259_modified_clostridia_growth_medium_cgm_wi	25	Carbonate / CO2 (HCO3-)	hco3	h2co3	exact_name	bicarbonate; target hco3 is absent from the BiGGr reactome; substituted h2co3, which carries the identical InChIKey BVKZGUZCCUSVTD-UHFFFAOYSA-M; resolved from the parenthetical qualifier 'HCO3-', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC4989321_defined_filtered_seawater_medium_with_pr	17	Propionate	ppa	prpnte	fuzzy_name	target ppa is absent from the BiGGr reactome; substituted prpnte, which carries the identical InChIKey XBDQKXXYIPTUBI-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC5057261_m9_minimal_medium	7	Iron (Fe2+)	fe	fe2	fuzzy_name	resolved from the parenthetical qualifier 'Fe2+', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC5340862_mbg_11_bp_1_medium_autotrophic_co2_hco3_	8	Bicarbonate (HCO3-)	hco3	h2co3	exact_name	bicarbonate; target hco3 is absent from the BiGGr reactome; substituted h2co3, which carries the identical InChIKey BVKZGUZCCUSVTD-UHFFFAOYSA-M; resolved from the parenthetical qualifier 'HCO3-', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC5340862_modified_bg_11_mbg_11_bp_1_medium	8	Bicarbonate (HCO3-)	hco3	h2co3	exact_name	bicarbonate; target hco3 is absent from the BiGGr reactome; substituted h2co3, which carries the identical InChIKey BVKZGUZCCUSVTD-UHFFFAOYSA-M; resolved from the parenthetical qualifier 'HCO3-', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC5464527_iron_fe_limited_minimal_medium_0_04_gluc	6	Iron (Fe)	fe	fe2	fuzzy_name		re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC5486835_m9_mineral_medium_5_mm_4_hydroxybenzoate	7	Iron (Fe2+)	fe	fe2	fuzzy_name	resolved from the parenthetical qualifier 'Fe2+', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC5486835_m9_mineral_medium_5_mm_benzoate	7	Iron (Fe2+)	fe	fe2	fuzzy_name	resolved from the parenthetical qualifier 'Fe2+', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
growthlit_PMC5486835_m9_mineral_medium_5_mm_ferulate	6	Iron (Fe2+)	fe	fe2	fuzzy_name	resolved from the parenthetical qualifier 'Fe2+', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
